WKT,GUID,WIJKNAAM,wvkId,sttNaam,op_10juli_naar_30kmu,snelheid_vanaf_10_juli
"LINESTRING Z (5.1045015517 52.1186014836 0,5.1045505043 52.1186269669 0,5.1045524198 52.1186286064 0,5.1045778493 52.1186554886 0,5.1046512249 52.1187007934 0)",38,Overvecht,601170253,Rio Negrodreef,Rio Negrodreef,30
"LINESTRING Z (5.1036370833 52.0627239841 0,5.1037593926 52.0627091241 0,5.1037708968 52.062707488 0,5.1037850079 52.0627082248 0,5.1038132774 52.062702232 0,5.1038687618 52.062695129 0,5.1064122609 52.0624018649 0,5.1065215217 52.0623870069 0,5.1066399208 52.0623719575 0)",91,Zuidwest,271305043,Decimalaan,Decimalaan,30
"LINESTRING Z (5.08200391 52.130447915 0,5.0821128967 52.130394963 0,5.0821140171 52.1303938666 0,5.0821538118 52.1303796739 0,5.0822477673 52.130335929 0,5.0841613557 52.1294079528 0,5.0842012459 52.1293874185 0,5.0842456849 52.1293596048 0)",358,Overvecht,600775045,Texasdreef,Texasdreef,30
"LINESTRING Z (5.0433786029 52.1173399218 0,5.0434648728 52.1172865681 0,5.0443945347 52.1167270884 0,5.0444110082 52.116715627 0,5.0444687296 52.1166798144 0)",299,West,262317033,Nautilusweg,Nautilusweg,30
"LINESTRING Z (5.1124076477 52.1008628036 0,5.1128841212 52.1008794318 0,5.1133044301 52.1009029215 0,5.1133464228 52.1009045217 0,5.1134258511 52.1009075937 0)",253,Noordoost,272313068,Draaiweg,Draaiweg,30
"LINESTRING Z (5.1225188823 52.1110978565 0,5.1225448345 52.1111156921 0,5.1226542057 52.1111808418 0,5.1232021308 52.1115219185 0,5.1232770444 52.1115670578 0,5.1233002584 52.1115794755 0,5.1233753339 52.1116251715 0)",109,Overvecht,273316017,Tannhäuserdreef,Tannhäuserdreef,30
"LINESTRING Z (5.1026336592 52.1177468664 0,5.1027422939 52.1177855639 0,5.1027575362 52.117790002 0,5.1027995292 52.1178047852 0,5.102991631 52.1178794299 0,5.1031511248 52.1179437422 0,5.103346259 52.1180268738 0,5.1037705807 52.1182196833 0,5.1037767691 52.1182218669 0,5.1038633532 52.1182647339 0)",38,Overvecht,271317040,Rio Negrodreef,Rio Negrodreef,30
"LINESTRING Z (5.1134258511 52.1009075937 0,5.1135212146 52.1009112832 0,5.1135747634 52.1009133847 0,5.1138499314 52.1009299469 0,5.1140646014 52.1009488277 0,5.1141253796 52.1009568337 0,5.1141781581 52.1009663195 0,5.1142507002 52.1009826334 0)",253,Noordoost,272313113,Draaiweg,Draaiweg,30
"LINESTRING Z (5.1046512249 52.1187007934 0,5.1046675316 52.1187108613 0,5.1046911181 52.1187225564 0,5.1047528458 52.1187574106 0,5.1048311204 52.1188068686 0,5.1048377324 52.1188106657 0)",38,Overvecht,601170254,Rio Negrodreef,Rio Negrodreef,30
"LINESTRING Z (5.1038633532 52.1182647339 0,5.1039031171 52.1182844215 0,5.1041192805 52.118395939 0,5.1044015092 52.1185507284 0,5.1044301023 52.1185644821 0,5.1044312255 52.118564874 0,5.1045015517 52.1186014836 0)",38,Overvecht,271317041,Rio Negrodreef,Rio Negrodreef,30
"LINESTRING Z (5.1216696597 52.1105751662 0,5.1217048101 52.1105963555 0,5.121821757 52.1106646428 0,5.1222150353 52.1109094036 0,5.1222560205 52.1109331324 0,5.1223305013 52.1109723876 0,5.1223894859 52.1110082682 0,5.1224298656 52.1110366765 0,5.1225188823 52.1110978565 0)",109,Overvecht,273316018,Tannhäuserdreef,Tannhäuserdreef,30
"LINESTRING Z (5.0444687296 52.1166798144 0,5.0445234084 52.1166458894 0,5.0445325914 52.116641555 0,5.044577522 52.1166155903 0,5.0459965202 52.1157625084 0,5.0460386948 52.115735293 0,5.0460641263 52.1157159307 0,5.0460815242 52.1156982133 0,5.0460909583 52.1156823568 0,5.0460935862 52.115661682 0,5.0460855572 52.1156408846 0,5.0460667107 52.1156176597 0,5.0460307318 52.115584823 0,5.0452674881 52.1149496089 0,5.0452577926 52.114942153 0,5.0451869957 52.1148895537 0)",299,West,263317036,Nautilusweg,Nautilusweg,30
"LINESTRING Z (5.0424258174 52.0736062695 0,5.0436306471 52.0761090854 0)",365,Vleuten - De Meern,600771092,Gessel,Gessel,30
"LINESTRING Z (5.1572571792 52.0842419198 0,5.1573051916 52.0842674656 0,5.1574544024 52.0843435082 0,5.1574815832 52.0843536133 0,5.1575345718 52.0843687103 0,5.1575622975 52.0843795418 0,5.1576025096 52.0844007374 0,5.1576872089 52.0844510409 0,5.1578107432 52.084493834 0)",190,Oost,278310023,Cicerolaan,Cicerolaan,30
"LINESTRING Z (5.1115182502 52.1007667912 0,5.1115943349 52.1007818845 0,5.1116419093 52.1007897612 0,5.1118668582 52.1008183816 0,5.1120920454 52.1008401048 0,5.1124076477 52.1008628036 0)",253,Noordwest,272313067,Draaiweg,Draaiweg,30
"LINESTRING Z (5.1554152888 52.0831649391 0,5.1554930725 52.0832115779 0,5.1555044358 52.0832203357 0,5.1555664559 52.0832523515 0,5.1556217821 52.0832839209 0,5.1571653448 52.0841905513 0,5.1571866442 52.0842043904 0,5.1572571792 52.0842419198 0)",190,Oost,278310022,Cicerolaan,Cicerolaan,30
"LINESTRING Z (5.0436306471 52.0761090854 0,5.0442449482 52.0773850698 0,5.0455607626 52.0771062023 0)",365,Vleuten - De Meern,600771093,Gessel,Gessel,30
"LINESTRING Z (5.1142507002 52.1009826334 0,5.1143410373 52.101015566 0,5.1144218211 52.1010680722 0,5.1145024456 52.1011443515 0,5.1145253612 52.1011848328 0)",253,Noordoost,272314078,Draaiweg,Draaiweg,30
"LINESTRING Z (5.1207151496 52.1099919465 0,5.1207657412 52.1100230875 0,5.1207798885 52.1100332831 0,5.1208292694 52.1100645373 0,5.1209029905 52.1101007439 0,5.1209551507 52.1101305608 0,5.1210866176 52.1102122881 0,5.1211938291 52.1102839407 0,5.121322427 52.1103575523 0,5.121542898 52.1104942734 0,5.1215748899 52.1105155896 0,5.1215869936 52.1105253338 0,5.1216696597 52.1105751662 0)",109,Overvecht,273316016,Tannhäuserdreef,Tannhäuserdreef,30
"LINESTRING Z (5.1803998434 52.0817567466 0,5.1803995467 52.0817316173 0,5.1804018236 52.0816916192 0,5.1804092888 52.0816243273 0,5.180414197 52.0810370655 0,5.1804176856 52.0810180089 0,5.1804235452 52.0810061271 0,5.1804339814 52.0809967359 0,5.1804499842 52.0809905596 0,5.1804621849 52.0809885703 0,5.1804807372 52.0809878821 0,5.1817129884 52.0809890199 0,5.181792252 52.080991434 0,5.1818819949 52.0810010458 0,5.1818989042 52.0809991573 0,5.1819163526 52.0809913717 0,5.1820140237 52.0809906458 0,5.1832086571 52.0809918436 0,5.1832504258 52.0809926511 0,5.1832642521 52.0809937294 0,5.1833788572 52.0809939835 0)",391,Oost,281309016,Limalaan,Limalaan,30
"LINESTRING Z (5.1374092254 52.0788885933 0,5.1374128304 52.0788547959 0,5.1374551089 52.0785483146 0,5.1374714713 52.078475981 0)",171,Oost,275309030,Mesdaglaan,Mesdaglaan,30
"LINESTRING Z (5.1048323122 52.1260100897 0,5.1049047682 52.1259816251 0,5.105045963 52.1259259057 0,5.1050776123 52.1259145386 0,5.1051418741 52.1258883983 0)",17,Overvecht,271319056,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1051418741 52.1258883983 0,5.1052035636 52.1258633035 0,5.1052052817 52.1258624879 0,5.1054915224 52.125747933 0,5.1056323709 52.1256852912 0,5.1059499587 52.1255591659 0)",17,Overvecht,600776820,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1032964912 52.1258438716 0,5.1033253794 52.1258596756 0,5.1035729151 52.1259945901 0,5.1036105533 52.1260171129 0,5.1036559366 52.1260417782 0)",17,Overvecht,271319005,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.0987754917 52.1233409064 0,5.0988078865 52.1233470524 0,5.0988212607 52.1233524815 0,5.0988371053 52.123361573 0,5.0989968487 52.123480157 0,5.0990771653 52.1235366381 0,5.0991755288 52.1236017575 0,5.0993289157 52.123697485 0,5.0995161765 52.1238070368 0,5.0996094999 52.1238649774 0,5.0997891925 52.1239628707 0,5.099831784 52.1239839004 0,5.099934189 52.1240282621 0)",17,Overvecht,270318008,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1265670528 52.1165375098 0,5.1264616104 52.1165861336 0)",31,Overvecht,601090465,Oderdreef,Oderdreef,30
"LINESTRING Z (5.108317669 52.1245605347 0,5.1083472232 52.1245459979 0)",17,Overvecht,600776823,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.0483644392 52.1097540211 0,5.0483607205 52.1097508188 0,5.0483408075 52.1097323378 0,5.0483163321 52.1097050499 0,5.0482985734 52.1096802457 0,5.0482608901 52.1096161343 0,5.0482152228 52.1095490221 0,5.0481936619 52.1095114502 0,5.0481142826 52.1093499724 0,5.0475737202 52.1081512638 0)",334,Leidsche Rijn,600771814,Krommewetering,Krommewetering,30
"LINESTRING Z (5.0982403227 52.1227633251 0,5.0983145685 52.1228401409 0,5.0983419206 52.1228702828 0)",17,Overvecht,600776297,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1064148139 52.1253789167 0,5.1064838357 52.1253537802 0,5.1065273943 52.1253379919 0,5.1067740932 52.1252387311 0,5.1068268502 52.125218919 0,5.1069480476 52.125177191 0,5.1070070676 52.1251524825 0)",17,Overvecht,271319009,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.0986283987 52.1231413713 0,5.0986219918 52.1231745585 0,5.0986235977 52.1231829969 0,5.0986291987 52.1231927806 0,5.0986583529 52.1232204758 0,5.0987277814 52.1232741954 0,5.0987563939 52.1232989447 0,5.098770358 52.1233179688 0,5.0987754917 52.1233409064 0)",17,Overvecht,270318007,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1262465173 52.1166901577 0,5.1263096194 52.1166156222 0,5.1264141271 52.1165552949 0)",31,Overvecht,601090582,Oderdreef,Oderdreef,30
"LINESTRING Z (5.1091273608 52.1241314003 0,5.1091585938 52.1241147443 0,5.1092711289 52.1240578612 0,5.1093846785 52.123989933 0,5.1094430996 52.1239563247 0)",17,Overvecht,601170231,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.101288655 52.1247466105 0,5.1013489328 52.1247836966 0,5.101360467 52.124793819 0,5.1014028711 52.1248197291 0,5.1017365428 52.1250019606 0,5.1017381345 52.1250031051 0,5.1017920673 52.1250327649 0)",17,Overvecht,270319041,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1264616104 52.1165861336 0,5.1264083753 52.1166183381 0,5.1263713246 52.1166429367 0,5.1262465173 52.1166901577 0)",31,Overvecht,601091020,Oderdreef,Oderdreef,30
"LINESTRING Z (5.0456620145 52.1084079035 0,5.0413943497 52.1103425198 0)",334,Leidsche Rijn,600920637,Krommewetering,Krommewetering,30
"LINESTRING Z (5.1373200644 52.079445582 0,5.1373302816 52.0794189451 0,5.1373362049 52.0793937524 0,5.137396564 52.0789739242 0,5.1374013139 52.0789569118 0,5.1374021246 52.0789551519 0,5.1374092254 52.0788885933 0)",171,Oost,600778381,Mesdaglaan,Mesdaglaan,30
"LINESTRING Z (5.100831669 52.1245076875 0,5.100872684 52.1245299201 0,5.1010283469 52.1246062279 0,5.1012342648 52.1247157234 0,5.1012456558 52.1247201542 0,5.101288655 52.1247466105 0)",17,Overvecht,270319040,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1253526462 52.1172435145 0,5.1253909242 52.1172059609 0,5.1254217079 52.11719236 0,5.1255651033 52.1170979712 0,5.1256637705 52.117036109 0,5.1259291083 52.1168723356 0,5.1262465173 52.1166901577 0)",31,Overvecht,601090583,Oderdreef,Oderdreef,30
"LINESTRING Z (5.1425591839 52.0909191223 0,5.1425856432 52.0909276061 0,5.1426100663 52.0909316564 0,5.142729906 52.0909318552 0,5.1427775539 52.0909349667 0,5.1428296027 52.0909407405 0,5.142904871 52.0909526734 0,5.1431421518 52.0909958333 0,5.1432071001 52.0910050167 0,5.143248635 52.0910079796 0,5.1432882312 52.0910089836 0,5.1433491667 52.0910039989 0,5.1433820467 52.0910036031 0)",230,Oost,276311037,Johan Willem Frisostraat,Johan Willem Frisostraat,30
"LINESTRING Z (5.1207385523 52.111147167 0,5.12082059 52.1110973361 0,5.1208383167 52.1110862794 0,5.1215980623 52.1106201909 0,5.1216696597 52.1105751662 0)",183,Overvecht,273316021,Salomedreef,Salomedreef,30
"LINESTRING Z (5.1804043373 52.0830072268 0,5.1804090778 52.0818770486 0,5.1804072375 52.0818522582 0,5.1804027741 52.0818347552 0,5.1804007204 52.0818311914 0,5.1803998434 52.0817567466 0)",391,Oost,600781017,Limalaan,Limalaan,30
"LINESTRING Z (5.1036559366 52.1260417782 0,5.1037257164 52.1260797029 0,5.103892986 52.1261271785 0,5.1039470573 52.1261397818 0,5.1040014411 52.1261496463 0,5.10406547 52.1261579098 0,5.1041275664 52.1261625833 0,5.1041912662 52.1261642693 0,5.1042553127 52.1261628463 0,5.1043239838 52.1261577617 0,5.1043874022 52.1261496662 0,5.1044493398 52.1261383286 0,5.104514086 52.1261230025 0,5.1045688452 52.1261072067 0,5.1046346395 52.1260849901 0,5.104727849 52.1260510773 0,5.1047570571 52.1260396541 0,5.1048323122 52.1260100897 0)",17,Overvecht,271319054,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1059499587 52.1255591659 0,5.1062796631 52.1254282257 0,5.1063330233 52.125408702 0,5.1064148139 52.1253789167 0)",17,Overvecht,600776819,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1083472232 52.1245459979 0,5.1084227192 52.1245088639 0,5.1086858639 52.1243764449 0,5.1087317837 52.1243509973 0,5.1088077107 52.1243036266 0,5.1088571926 52.1242754793 0,5.1091273608 52.1241314003 0)",17,Overvecht,600776821,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.0413943497 52.1103425198 0,5.0399245517 52.111008733 0,5.0398623897 52.1110560971 0,5.0398463544 52.111132134 0,5.0398456901 52.1112177166 0,5.0408562461 52.1127225653 0,5.0409382481 52.1128130616 0)",334,Leidsche Rijn,600920638,Krommewetering,Krommewetering,30
"LINESTRING Z (5.1070070676 52.1251524825 0,5.1070813421 52.1251213874 0,5.1073721747 52.1249981734 0,5.1077432858 52.1248332821 0,5.1079739042 52.124726144 0,5.1082858371 52.1245761913 0,5.108317669 52.1245605347 0)",17,Overvecht,600776824,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1804040088 52.0830855659 0,5.1804043373 52.0830072268 0)",391,Oost,600781016,Limalaan,Limalaan,30
"LINESTRING Z (5.1001805574 52.1241464424 0,5.1002758724 52.1241987177 0,5.1004159668 52.1242734577 0,5.1005085416 52.1243307272 0,5.1005631276 52.1243621211 0,5.100831669 52.1245076875 0)",17,Overvecht,270319039,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1094430996 52.1239563247 0,5.1096965814 52.1238105022 0,5.1100018274 52.1236263712 0,5.1100621834 52.1235897633 0)",17,Overvecht,601170232,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.0475737202 52.1081512638 0,5.0474544882 52.1078868552 0,5.0474299811 52.1078414523 0,5.047402444 52.1078027494 0,5.0473739702 52.1077736018 0,5.047344397 52.1077538966 0,5.0473212605 52.107744095 0,5.0472990126 52.1077379945 0,5.0472755093 52.1077343882 0,5.047247871 52.1077334359 0,5.0472233552 52.1077353381 0,5.0471949805 52.1077404246 0,5.04716613 52.1077481944 0,5.0471293857 52.1077607105 0,5.0470691857 52.1077845029 0,5.0470000346 52.1078144326 0,5.0457830947 52.1083586396 0,5.0457512817 52.1083706266 0,5.0457332635 52.1083749185 0,5.0456620145 52.1084079035 0)",334,Leidsche Rijn,600407122,Krommewetering,Krommewetering,30
"LINESTRING Z (5.099934189 52.1240282621 0,5.0999726964 52.1240449433 0,5.1000359591 52.1240707788 0,5.1001521475 52.1241308608 0,5.1001805574 52.1241464424 0)",17,Overvecht,270319038,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1264141271 52.1165552949 0,5.1264906092 52.1164880998 0)",31,Overvecht,601090493,Oderdreef,Oderdreef,30
"LINESTRING Z (5.0983419206 52.1228702828 0,5.0984052025 52.1229400187 0,5.098498354 52.1230544256 0,5.0985340624 52.1230928272 0,5.0985588081 52.1231150873 0,5.0985785937 52.1231284677 0,5.0985995676 52.1231362649 0,5.0986283987 52.1231413713 0)",17,Overvecht,600776296,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.1017920673 52.1250327649 0,5.1018492685 52.1250642221 0,5.101869291 52.1250732639 0,5.1031755194 52.1257793429 0,5.1032045259 52.1257937324 0,5.1032056636 52.1257941819 0,5.1032964912 52.1258438716 0)",17,Overvecht,270319042,Tigrisdreef,Tigrisdreef,30
"LINESTRING Z (5.0883792325 52.1237966435 0,5.0884650683 52.1238521508 0,5.0885086437 52.123882247 0,5.0885679112 52.1239197441 0,5.0912975212 52.1256127595 0,5.09135994 52.1256549235 0,5.0913863154 52.1256775173 0,5.0914164806 52.1257095544 0,5.091448036 52.1257283601 0)",345,Overvecht,269319001,Nevadadreef,Nevadadreef,30
"LINESTRING Z (5.1859497724 52.0830956832 0,5.1859507565 52.0831243728 0,5.1859558671 52.0831529077 0,5.1859582795 52.0831949003 0,5.185953524 52.0842310762 0,5.1859548047 52.0850757527 0,5.1859584173 52.0851600494 0,5.185955508 52.0851701254 0,5.1859421649 52.0851829564 0)",393,Oost,282310004,Marburglaan,Marburglaan,30
"LINESTRING Z (5.1414748802 52.0922336166 0,5.1413734101 52.0922851792 0,5.1413366184 52.0923270274 0,5.1413112353 52.0923509646 0,5.141277796 52.092377016 0,5.1412206459 52.0924176964 0,5.141163343 52.0924550833 0,5.1411088757 52.0924878858 0,5.1410854466 52.0924985103 0,5.1410431562 52.0925127518 0,5.1410185961 52.0925247203 0)",162,Oost,600127907,Emmalaan,Emmalaan,30
"LINESTRING Z (5.0506712735 52.0720694642 0,5.0507336377 52.0720586748 0,5.0507938758 52.0720406547 0,5.0508741126 52.0720103239 0,5.0509417638 52.0719931508 0,5.0513121936 52.0719194826 0,5.0514783239 52.0718794074 0,5.0515926223 52.0718561614 0,5.0520377215 52.0717700166 0,5.0521731052 52.0717510929 0,5.0522501187 52.0717375076 0,5.0530335965 52.0715855638 0,5.0530960564 52.0715721525 0,5.0531872951 52.0715494957 0,5.0532052889 52.0715469769 0,5.0532399239 52.0715457268 0,5.0532568637 52.0715431349 0,5.053859001 52.0714252997 0,5.0539357471 52.0714087097 0,5.0540311143 52.0713830933 0,5.0541347329 52.0713589616 0,5.0541501416 52.0713549407 0,5.0542709104 52.0712908719 0)",342,Vleuten - De Meern,263307004,Rijnzathe,Rijnzathe,30
"LINESTRING Z (5.1098055975 52.1004442075 0,5.1106727209 52.1006214438 0)",248,Noordwest,271313039,David van Mollemstraat,David van Mollemstraat,30
"LINESTRING Z (5.1070652504 52.0637683461 0,5.107047117 52.0637188875 0,5.1070413994 52.0636834348 0,5.1070269476 52.0636266201 0,5.1068834876 52.0631540222 0,5.1068742358 52.0631191912 0,5.1068614873 52.0630647597 0)",1,Zuidwest,600375699,Europalaan,Europalaan Zuid,30
"LINESTRING Z (5.1582504138 52.0867705315 0,5.1582833802 52.086754026 0,5.1583022352 52.0867454565 0,5.1585494925 52.0866175421 0,5.1585802317 52.0866014267 0)",54,Oost,600935743,Wim Sonneveldlaan,Wim Sonneveldlaan,30
"LINESTRING Z (5.1712578908 52.0862106891 0,5.1712588432 52.0861348661 0,5.1712647822 52.0861192809 0,5.1712698183 52.0860730998 0,5.1712757732 52.0850665932 0,5.1712747929 52.0850299795 0,5.1712718998 52.0850006454 0)",386,Oost,600407032,Genèvelaan,Genevelaan,30
"LINESTRING Z (5.1159794842 52.1083158797 0,5.1160363407 52.1083413908 0,5.1160716839 52.1083613373 0,5.1161032181 52.1083826009 0,5.1161646912 52.1084306322 0,5.1162455527 52.1084825109 0,5.1175689378 52.1093041325 0,5.117628567 52.1093395962 0,5.1177183416 52.1093874495 0,5.1177643705 52.109414659 0,5.1178049641 52.1094414812 0,5.117855793 52.1094807833 0,5.1178817266 52.109498584 0,5.1182492374 52.1097294899 0,5.1182842267 52.1097550049 0,5.1183016191 52.1097752929 0,5.1183081199 52.1097946527 0,5.118309429 52.1098362606 0)",168,Overvecht,272315035,Van Brammendreef,Van Brammendreef,30
"LINESTRING Z (5.0826276841 52.1154374483 0,5.0827098213 52.1153943501 0,5.082774654 52.1153567682 0,5.0827866126 52.1153471072 0,5.082793616 52.1153374442 0,5.0827985013 52.1153060722 0)",382,Noordwest,600775007,Prins Bernhardlaan,Prins Bernhardlaan,30
"LINESTRING Z (5.1410185961 52.0925247203 0,5.140944979 52.0927453414 0,5.1408413011 52.0930237549 0,5.140781349 52.0933112477 0,5.1407809036 52.0933921393 0)",162,Oost,600376083,Emmalaan,Emmalaan,30
"LINESTRING Z (5.1579268046 52.0869430216 0,5.1582504138 52.0867705315 0)",54,Oost,600935747,Wim Sonneveldlaan,Wim Sonneveldlaan,30
"LINESTRING Z (5.107282387 52.0644779318 0,5.107266905 52.0644132016 0)",1,Zuidwest,600911818,Europalaan,Europalaan Zuid,30
"LINESTRING Z (5.0827807023 52.115531931 0,5.0827298378 52.1155635826 0,5.082716804 52.1155692582 0,5.0826851585 52.1155764444 0)",382,Noordwest,600917125,Prins Bernhardlaan,Prins Bernhardlaan,30
"LINESTRING Z (5.1064126076 52.0616253538 0,5.1064109554 52.0616095488 0,5.1063915664 52.0615559526 0,5.1063527418 52.0614292613 0,5.1063370864 52.0613765215 0,5.1063343048 52.0613578242 0)",1,Zuidwest,600391606,Europalaan,Europalaan Zuid,30
"LINESTRING Z (5.0873089131 52.1130017718 0,5.0872814201 52.1130238451 0,5.0872640102 52.1130350719 0,5.0872482001 52.1130415472 0,5.0872117791 52.1130521874 0,5.0871868164 52.1130639721 0,5.0870975024 52.1131209615 0,5.0868628727 52.113257738 0,5.0867554132 52.1133290467 0,5.0867437081 52.1133361634 0)",382,Noordwest,600911781,Prins Bernhardlaan,Prins Bernhardlaan,30
"LINESTRING Z (5.0464763782 52.0728559048 0,5.0463731667 52.0728772806 0,5.0463548038 52.0728758577 0,5.0463244314 52.0728778219 0,5.0462866168 52.0728834938 0,5.0447968295 52.0731678071 0,5.0447548161 52.0731785122 0,5.0447243134 52.0731888822 0,5.0446943229 52.0732030476 0,5.0446722021 52.0732178866 0,5.0446654605 52.0732243645 0)",342,Vleuten - De Meern,263307014,Rijnzathe,Rijnzathe,30
"LINESTRING Z (5.1092086493 52.1003267102 0,5.1098055975 52.1004442075 0)",248,Noordwest,601187387,David van Mollemstraat,David van Mollemstraat,30
"LINESTRING Z (5.1389490981 52.0789687081 0,5.1389589174 52.0788944821 0,5.1389649318 52.0788621431 0,5.1390007883 52.0785988416 0,5.1390044857 52.0785589604 0,5.1390035331 52.078552913 0,5.138988034 52.078508155 0)",112,Oost,275309035,Gabriëllaan,Gabriellaan,30
"LINESTRING Z (5.1089001306 52.1002425391 0,5.1091528734 52.1002920961 0,5.1092086493 52.1003267102 0)",248,Noordwest,601187386,David van Mollemstraat,David van Mollemstraat,30
"LINESTRING Z (5.1402201244 52.0934121216 0,5.1402738985 52.0933381276 0)",162,Oost,276312083,Emmalaan,Emmalaan,30
"LINESTRING Z (5.1585802317 52.0866014267 0,5.1586462641 52.0865668077 0,5.158675567 52.0865525158 0,5.1594244984 52.0861599344 0,5.1594888269 52.0861233235 0,5.1595346579 52.0860913264 0,5.1595690124 52.0860613322 0,5.159592644 52.086036347 0,5.1596248958 52.0859900598 0,5.1596388158 52.0859628592 0,5.1596498697 52.0859300527 0,5.1596560371 52.0858961537 0,5.1596598847 52.0857819349 0,5.1596628422 52.0857566591 0,5.1596632591 52.0857555849 0,5.1596637953 52.0856834373 0)",54,Oost,600935744,Wim Sonneveldlaan,Wim Sonneveldlaan,30
"LINESTRING Z (5.083523161 52.1151568572 0,5.0831544568 52.1153260098 0,5.083084372 52.1153603157 0,5.0830140266 52.115398341 0,5.0829968377 52.1154081198 0)",382,Noordwest,600383062,Prins Bernhardlaan,Prins Bernhardlaan,30
"LINESTRING Z (5.1596620634 52.0852668873 0,5.1596627208 52.0852348732 0,5.1596685717 52.0847298632 0,5.1596765543 52.0846471196 0,5.1596977303 52.084535361 0,5.1597027821 52.0845036106 0)",54,Oost,600780073,Wim Sonneveldlaan,Wim Sonneveldlaan,30
"LINESTRING Z (5.1068614873 52.0630647597 0,5.1068504247 52.0630175307 0,5.1068503619 52.0630170874 0,5.1067844073 52.0628011682 0)",1,Zuidwest,600391601,Europalaan,Europalaan Zuid,30
"LINESTRING Z (5.1402201244 52.0934121216 0,5.1395554552 52.0933356465 0)",162,Oost,600128394,Emmalaan,Emmalaan,30
"LINESTRING Z (5.1402738985 52.0933381276 0,5.1403082735 52.0933135857 0,5.1403256459 52.0932966121 0,5.1403721974 52.0932576563 0,5.1403867967 52.0932402482 0,5.1403983991 52.0932209356 0,5.1404253871 52.0931522154 0,5.1406240688 52.092561866 0,5.140629754 52.0925501907 0,5.1406354767 52.0925446939 0,5.1406463379 52.0925178908 0,5.1406852914 52.092488503 0)",162,Oost,276312032,Emmalaan,Emmalaan,30
"LINESTRING Z (5.1596637953 52.0856834373 0,5.1596640013 52.0856558354 0,5.1596614752 52.0853372337 0,5.159660687 52.0853338517 0,5.1596620634 52.0852668873 0)",54,Oost,279310011,Wim Sonneveldlaan,Wim Sonneveldlaan,30
"LINESTRING Z (5.1285849521 52.114027521 0,5.1286197651 52.1140487561 0,5.1286547497 52.1140736452 0,5.12882629 52.1141792711 0)",197,Overvecht,274316052,Donaudreef,Donaudreef,30
"LINESTRING Z (5.1410185961 52.0925247203 0,5.1408919197 52.092510805 0,5.1407475457 52.0924892954 0,5.1407229898 52.0924877656 0,5.1406852914 52.092488503 0)",162,Oost,600376082,Emmalaan,Emmalaan,30
